工号,姓名,身份证号,民族,性别,出生年月,一级部门,二级部门,岗位,职级,参加工作时间,工龄,入职日期,司龄,劳动合同Base地,第一学历,第一学历院校,第一学历专业,最高学历,最高学历院校,最高学历专业,毕业学校,学历,合同到期日,婚育状态,现居地址,紧急联系人姓名,紧急联系人关系,紧急联系人电话,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2024盘点结果,2025盘点结果,最近一次调岗日期,最近一次晋升日期,状态,离职日期,离职原因
EMP0001,刘佳,440103199010253173,汉族,男,1990-10-25,董事会办公室,董事会办公室,董事长助理,中级,2015-09-24,9.5,2022-06-14,2.8,武汉,本科,上海交通大学,市场营销,本科,上海交通大学,市场营销,上海交通大学,本科,2025-05-28,已婚未育,广东省朝阳区建国路499号3楼1034室,罗斌,父母,13130567145,A,A+,B,A,B,D,C,B,D,低绩效-高潜力,低绩效-中潜力,2025-04-22,2027-01-21,在职,,
EMP0002,朱斌,310101199303034909,汉族,女,1993-03-03,财务管理部,业财一体化部,财务BA,中级,2012-05-12,12.8,2020-10-07,4.4,南京,硕士,中央财经大学,数量经济学,硕士,中央财经大学,数量经济学,中央财经大学,硕士,2022-09-27,已婚未育,上海市浦东新区建国路306号22楼1143室,徐文,配偶,15663977820,A,A,B,B,D,A,B,A,A+,中绩效-低潜力,高绩效-低潜力,,,在职,,
EMP0003,杨怡,110108196602225776,回族,男,1966-02-22,市场运营部,运营管理部,运营专员,中级,2019-11-22,5.3,2024-05-27,0.8,武汉,本科,同济大学,金融学,本科,同济大学,金融学,同济大学,本科,2028-05-06,已婚未育,广东省西湖区中关村大街347号13楼527室,周怡,子女,13621339085,,,,,,D,D,B,B,低绩效-中潜力,低绩效-低潜力,,,在职,,
EMP0004,李萱,110107197107089410,回族,男,1971-07-08,产融数字研究院,公共事务部,公共事务总监,中级,2019-12-03,5.3,2021-07-06,3.7,北京,大专,北京大学,物流管理,大专,北京大学,物流管理,北京大学,大专,2026-06-10,已婚已育,四川省海淀区建国路415号13楼1737室,陈芬,兄弟姐妹,15678555820,B,A,C,B,B,B,B,A,C,中绩效-高潜力,中绩效-高潜力,,,在职,,
EMP0005,朱龙,310104200004227545,汉族,女,2000-04-22,董事会办公室,董事会办公室,董事长助理,中级,2020-12-22,4.2,2025-04-16,-0.1,上海,大专,华中科技大学,物流管理,硕士,哈尔滨工业大学,金融学,华中科技大学,大专,2026-04-11,未婚,浙江省锦江区世纪大道384号2楼1413室,杨燕,子女,19369134405,,,,,,,,,,低绩效-低潜力,中绩效-中潜力,,,在职,,
EMP0006,胡彬,440103197209253710,壮族,男,1972-09-25,财务管理部,财税管理部,税务经理,VP,2022-10-14,2.4,2024-04-17,0.9,北京,博士,中国人民大学,数量经济学,博士,中国人民大学,数量经济学,中国人民大学,博士,2029-03-22,离异,广东省江干区建国路905号6楼177室,郭刚,配偶,19233257348,,,,,,B,C,B,B,低绩效-高潜力,中绩效-低潜力,,,在职,,
EMP0007,林梅,110101198810167376,满族,男,1988-10-16,董事会办公室,董事会办公室,董事会事务专员,初级,2016-09-02,8.5,2024-07-26,0.6,北京,硕士,上海财经大学,企业管理,硕士,北京理工大学,金融工程,上海财经大学,硕士,2025-07-21,已婚已育,广东省浦东新区世纪大道450号22楼1059室,杨龙,父母,14683301203,,,,,,C,A+,B,A+,中绩效-高潜力,中绩效-高潜力,,,在职,,
EMP0008,郭刚,110107199206136955,汉族,男,1992-06-13,财务管理部,业财一体化部,业财经理,中级,2020-11-04,4.4,2023-06-10,1.8,南京,硕士,武汉大学,金融学,硕士,武汉大学,金融学,武汉大学,硕士,2024-06-04,已婚未育,上海市天河区解放路221号12楼1894室,周杰,父母,16319461212,,A,B,B,B,B,B,B,B,中绩效-高潜力,高绩效-中潜力,,,在职,,
EMP0009,徐鑫,440104198005242471,满族,男,1980-05-24,市场运营部,数字化营销部,数字营销经理,初级,2016-09-08,8.5,2025-05-07,-0.1,南京,硕士,西安交通大学,经济学,硕士,北京航空航天大学,金融工程,西安交通大学,硕士,2028-04-21,已婚未育,四川省江干区解放路439号18楼1303室,周欣,其他,16425292202,,,,,,,,,,低绩效-低潜力,中绩效-中潜力,,,在职,,
EMP0010,罗芳,440104200310042054,汉族,男,2003-10-04,产融数字研究院,专家智库部,首席专家,专家,2015-08-02,9.6,2025-04-08,-0.1,武汉,本科,北京理工大学,会计学,本科,北京理工大学,会计学,北京理工大学,本科,2030-03-13,未婚,四川省浦东新区解放路720号19楼736室,朱博,子女,17424889846,,,,,,,,,,低绩效-低潜力,低绩效-低潜力,,,在职,,
EMP0011,王博,110108197305034513,蒙古族,男,1973-05-03,产融数字研究院,集团总行部,数据研究,初级,2018-08-03,6.6,2025-01-03,0.2,深圳,大专,哈尔滨工业大学,物流管理,大专,哈尔滨工业大学,物流管理,哈尔滨工业大学,大专,2029-12-08,已婚未育,上海市天河区中关村大街688号11楼981室,张娜,父母,15313168290,,,,,,,,,,低绩效-中潜力,低绩效-低潜力,,,离职,2025-02-03,职业发展
EMP0012,李艳,110107196901068399,汉族,男,1969-01-06,市场运营部,运营管理部,运营主管,中级,2012-10-03,12.4,2019-01-12,6.2,北京,本科,对外经济贸易大学,经济学,本科,对外经济贸易大学,经济学,对外经济贸易大学,本科,2022-12-22,离异,北京市锦江区中关村大街861号10楼224室,李欣,子女,19259871269,C,A,A+,B,B,C,C,B,B,中绩效-中潜力,低绩效-中潜力,,,在职,,
EMP0013,孙兰,440104197708077439,汉族,男,1977-08-07,市场运营部,运营管理部,运营数据分析,中级,2016-10-08,8.4,2025-01-04,0.2,成都,大专,中国人民大学,会计学,大专,中国人民大学,会计学,中国人民大学,大专,2029-12-09,离异,江苏省天河区解放路841号15楼669室,林佳,兄弟姐妹,15379040855,,,,,,,,,,低绩效-低潜力,中绩效-中潜力,,,在职,,
EMP0014,高晨,440104198108228576,壮族,男,1981-08-22,财务管理部,财税管理部,总账会计,总监,2018-12-23,6.2,2025-12-10,-0.7,成都,本科,中山大学,市场营销,硕士,南京大学,法律硕士,中山大学,本科,2026-12-05,已婚已育,四川省朝阳区建国路296号27楼387室,林思,其他,17786509435,,,,,,,,,,低绩效-低潜力,中绩效-低潜力,,,在职,,
EMP0015,黄伟,310105200309053132,汉族,男,2003-09-05,市场运营部,运营管理部,供应链运营,初级,2015-05-26,9.8,2019-06-03,5.8,深圳,本科,同济大学,信息管理,本科,同济大学,信息管理,同济大学,本科,2022-05-18,未婚,上海市浦东新区建国路43号11楼1263室,刘博,父母,17922001791,C,C,D,C,A,B,A,C,C,低绩效-低潜力,低绩效-中潜力,,,在职,,
EMP0016,马颖,110108196707275614,满族,男,1967-07-27,董事会办公室,董事会办公室,董事会事务专员,高级,2020-02-27,5.0,2021-10-27,3.4,杭州,本科,西安交通大学,经济学,本科,西安交通大学,经济学,西安交通大学,本科,2024-10-11,已婚已育,浙江省天河区解放路694号10楼501室,杨秀英,配偶,14693358755,A+,C,B,A+,B,B,A,A+,B,中绩效-低潜力,高绩效-高潜力,,,在职,,
EMP0017,李慧,110107196601096654,汉族,男,1966-01-09,市场运营部,数字化营销部,营销总监,中级,2010-07-09,14.7,2018-05-18,6.8,广州,硕士,复旦大学,应用统计学,硕士,复旦大学,应用统计学,复旦大学,硕士,2023-04-22,已婚已育,四川省锦江区中关村大街402号3楼323室,王龙,子女,17839002799,D,D,C,B,A,A,A+,B,B,低绩效-低潜力,低绩效-中潜力,2021-02-04,,在职,,
EMP0018,何怡,440103199803083952,蒙古族,男,1998-03-08,董事会办公室,董事会办公室,董事长助理,高级,2020-06-05,4.8,2023-12-06,1.3,南京,本科,中国人民大学,人力资源管理,本科,中国人民大学,人力资源管理,中国人民大学,本科,2027-11-15,未婚,江苏省锦江区世纪大道49号29楼1556室,李军,配偶,15883090810,,B,A,B,B,A+,D,A+,B,中绩效-低潜力,中绩效-中潜力,,,在职,,
EMP0019,赵慧,110106199010223911,汉族,男,1990-10-22,董事会办公室,董事会办公室,董事会事务专员,VP,2021-05-13,3.8,2025-05-09,-0.2,广州,大专,华中科技大学,电子商务,大专,华中科技大学,电子商务,华中科技大学,大专,2027-04-28,未婚,广东省天河区中关村大街159号17楼677室,罗丽,兄弟姐妹,13872816785,,,,,,,,,,低绩效-低潜力,低绩效-中潜力,,,在职,,
EMP0020,吴涛,110108196503129973,汉族,男,1965-03-12,财务管理部,预算管理部,预算经理,专家,2018-11-21,6.3,2025-10-08,-0.6,上海,硕士,北京理工大学,计算机技术,硕士,北京理工大学,计算机技术,北京理工大学,硕士,2026-10-03,已婚未育,上海市浦东新区世纪大道751号6楼971室,赵梅,配偶,13745487088,,,,,,,,,,低绩效-中潜力,中绩效-低潜力,,,在职,,
EMP0021,吴文,440103199910114785,壮族,女,1999-10-11,财务管理部,业财一体化部,业财经理,中级,2020-01-12,5.2,2022-06-26,2.7,杭州,博士,东北财经大学,经济学,博士,东北财经大学,经济学,东北财经大学,博士,2026-06-05,已婚未育,北京市江干区世纪大道677号23楼759室,赵佳,父母,16935747926,A+,B,B,A+,A+,C,A,C,C,中绩效-高潜力,中绩效-低潜力,,,在职,,
EMP0022,黄鑫,310101200507235433,汉族,男,2005-07-23,财务管理部,预算管理部,预算主管,初级,2017-07-27,7.6,2024-09-17,0.5,南京,本科,哈尔滨工业大学,财务管理,本科,哈尔滨工业大学,财务管理,哈尔滨工业大学,本科,2029-08-22,未婚,浙江省江干区人民路230号26楼308室,杨云,其他,16562465634,,,,,,C,C,B,A+,中绩效-低潜力,高绩效-低潜力,2026-05-15,,在职,,
EMP0023,马佳,440103197007163872,汉族,男,1970-07-16,市场运营部,数字化营销部,品牌推广,中级,2021-02-01,4.1,2024-09-24,0.5,上海,本科,北京航空航天大学,信息管理,硕士,复旦大学,金融工程,北京航空航天大学,本科,2026-09-14,已婚已育,四川省天河区中关村大街57号10楼326室,李丽,父母,17748117231,,,,,,A,A+,A,A,中绩效-高潜力,中绩效-高潜力,,,在职,,
EMP0024,杨艳,110106196804261748,汉族,女,1968-04-26,财务管理部,财税管理部,税务经理,初级,2017-08-10,7.6,2023-10-24,1.4,广州,硕士,北京航空航天大学,应用统计学,硕士,北京航空航天大学,应用统计学,北京航空航天大学,硕士,2028-09-27,已婚未育,上海市锦江区解放路865号4楼1630室,陈超,子女,17391126583,,A,C,A+,A,D,D,B,C,低绩效-高潜力,低绩效-高潜力,2025-11-15,,在职,,
